country,site_number,site_code,site_type,data_collection_date,Day,Month,Year,pre_post_campaign,sampling_loc,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,percent_live_coral_cover,percent_soft_coral_cover,percent_algae_cover,percent_other_biota_cover,percent_available_substrate_cover,percent_mobile_substrate_cover,percent_BLK,information_source
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM5R0813,outside,10.06837,124.02346,,,50,0,20,0,0,29,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM5R1214,TURF,10.06837,124.02346,,,41,0,33,0,0,26,0,
Philippines,Phi_24,INABANG,Prototype,1/1/12,1,1,2012,pre,,Hambongan Marine Protected Area,BIHM6R0412,outside,10.06873,124.02451,,,49,0,26,0,0,25,0,
Philippines,Phi_24,INABANG,Prototype,1/1/11,1,1,2011,pre,,Hambongan Marine Protected Area,BIHM6R0511,outside,10.06873,124.02451,,,59,0,18,1,0,22,0,
Philippines,Phi_24,INABANG,Prototype,1/1/16,1,1,2016,pre,,Hambongan Marine Protected Area,BIHM6R0616,TURF,10.06873,124.02451,,,47,0,37,1,0,13,3,
Philippines,Phi_24,INABANG,Prototype,1/1/13,1,1,2013,pre,,Hambongan Marine Protected Area,BIHM6R0813,outside,10.06873,124.02451,,,58,0,22,0,2,18,0,
Philippines,Phi_24,INABANG,Prototype,1/1/14,1,1,2014,pre,,Hambongan Marine Protected Area,BIHM6R1214,TURF,10.06873,124.02451,,,44,0,33,1,0,22,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER1A0216,inside,14.0365,123.09322,,,81,0,0,0,0,15,3,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER1A0415,inside,14.0365,123.09322,,,69,0,0,1,0,30,0,
Philippines,Phi_35,MERCEDE,cohort,1/1/16,1,1,2016,pre,,Caringo Fish Sanctuary,CMER2A0216,inside,14.0349,123.09312,,,62,1,9,3,0,25,2,
Philippines,Phi_35,MERCEDE,cohort,1/1/15,1,1,2015,pre,,Caringo Fish Sanctuary,CMER2A0415,inside,14.0349,123.09312,,,47,0,15,1,0,37,0,
